Code;datum;maand;mndnr
IN007906;10-02-2021;02-2021;02
IN007907;10-02-2021;02-2021;02
IN007908;10-02-2021;02-2021;02
IN007909;10-02-2021;02-2021;02
IN007910;10-02-2021;02-2021;02
IN007911;10-02-2021;02-2021;02
IN007912;10-02-2021;02-2021;02
IN007913;10-02-2021;02-2021;02
IN007914;10-02-2021;02-2021;02
IN007915;10-02-2021;02-2021;02
IN007916;10-02-2021;02-2021;02
IN007917;10-02-2021;02-2021;02
IN007918;10-02-2021;02-2021;02
IN007919;10-02-2021;02-2021;02
IN007920;10-02-2021;02-2021;02
IN007921;10-02-2021;02-2021;02
IN007922;10-02-2021;02-2021;02
IN007923;10-02-2021;02-2021;02
IN007924;10-02-2021;02-2021;02
IN007925;10-02-2021;02-2021;02
IN007926;10-02-2021;02-2021;02
IN007927;10-02-2021;02-2021;02
IN007928;10-02-2021;02-2021;02
IN007929;10-02-2021;02-2021;02
IN007930;10-02-2021;02-2021;02
IN007931;10-02-2021;02-2021;02
IN007932;10-02-2021;02-2021;02
IN007933;10-02-2021;02-2021;02
IN007934;10-02-2021;02-2021;02
IN007935;10-02-2021;02-2021;02
IN007936;10-02-2021;02-2021;02
IN007937;10-02-2021;02-2021;02
IN007938;10-02-2021;02-2021;02
IN007939;10-02-2021;02-2021;02
IN007940;10-02-2021;02-2021;02
IN007941;11-02-2021;02-2021;02
IN007942;11-02-2021;02-2021;02
IN007943;11-02-2021;02-2021;02
IN007944;11-02-2021;02-2021;02
IN007945;11-02-2021;02-2021;02
IN007946;11-02-2021;02-2021;02
IN007947;11-02-2021;02-2021;02
IN007948;11-02-2021;02-2021;02
IN007949;11-02-2021;02-2021;02
IN007950;11-02-2021;02-2021;02
IN007951;11-02-2021;02-2021;02
IN007952;11-02-2021;02-2021;02
IN007953;11-02-2021;02-2021;02
IN007954;11-02-2021;02-2021;02
IN007955;11-02-2021;02-2021;02
IN007956;11-02-2021;02-2021;02
IN007957;11-02-2021;02-2021;02
IN007958;11-02-2021;02-2021;02
IN007959;11-02-2021;02-2021;02
IN007960;11-02-2021;02-2021;02
IN007961;11-02-2021;02-2021;02
IN007962;11-02-2021;02-2021;02
IN007963;11-02-2021;02-2021;02
IN007964;11-02-2021;02-2021;02
IN007965;11-02-2021;02-2021;02
IN007966;11-02-2021;02-2021;02
